Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
2,5,148.2,727.2,736.8,3.8,52.5,18.76,8315,2146
1,3,132.6,665.8,469.6,3.3,62.876,13.68,7460,1913
1,5,0.0,0.0,0.0,1.12,59.658,2.72,0,764
1,2,0.0,0.0,0.0,2.06,65.866,3.18,0,3137
1,5,0.0,0.0,0.0,1.98,67.01,12.44,0,590
1,1,103.0,729.2,434.2,3.2,63.83,11.82,3633,2452
1,0,0.0,0.0,0.0,4.28,77.062,7.8,4,2391
2,1,0.0,0.0,0.0,2.84,79.368,12.1,0,2949
1,2,136.4,590.4,547.0,4.52,59.638,14.58,6456,1385
2,5,202.6,759.2,849.0,2.32,39.254,21.42,10986,169
1,0,87.4,298.0,190.0,5.74,71.866,9.62,4764,1610
1,0,123.8,491.6,404.8,3.54,52.406,15.72,6842,200
2,3,206.0,349.4,496.6,2.58,55.696,21.06,10043,2231
1,2,0.0,0.0,0.0,2.84,75.356,5.22,17,1348
1,2,0.0,0.0,0.0,4.64,84.036,12.0,1,1486
2,5,151.2,554.4,617.4,6.06,50.842,20.2,8273,4839
1,4,213.2,208.4,338.4,4.86,61.122,15.78,5927,317
1,1,257.0,579.2,710.0,3.06,49.58,18.94,7519,400
2,3,77.8,313.8,169.8,2.84,59.402,12.66,453,1967
2,1,117.2,344.4,289.6,3.96,65.616,15.96,4503,1185
1,4,252.2,384.0,489.6,5.36,63.482,10.84,5869,2650
2,3,259.8,612.0,825.8,2.36,53.304,21.48,9844,2081
1,5,0.0,0.0,0.0,1.32,71.42,4.6,0,614
1,1,0.0,0.0,0.0,3.2,63.168,7.32,88,733
2,1,22.4,129.8,33.6,1.44,72.624,14.72,0,3229
1,1,132.2,566.2,522.4,4.82,52.29,15.02,6784,3560
1,1,0.0,0.0,0.0,3.4,78.084,11.56,2,877
1,1,0.0,0.0,0.0,2.6,74.792,10.32,14,1363
2,4,10.6,6.8,10.8,1.88,75.458,12.38,0,2062
1,4,0.0,0.0,0.0,4.18,79.638,11.2,122,1951
2,6,0.0,0.0,0.0,1.72,73.02,13.28,0,3238
1,0,106.8,794.6,495.4,4.06,51.412,7.22,9194,3019
1,3,120.4,691.6,660.2,4.88,51.502,16.44,8801,3042
1,3,0.0,0.0,0.0,1.48,80.564,10.84,55,262
1,0,0.0,0.0,0.0,4.1,79.448,6.96,4,2291
1,4,142.4,619.6,476.8,3.12,47.844,11.48,8418,394
1,5,0.0,0.0,0.0,1.94,82.406,7.84,214,3305
1,3,0.0,0.0,0.0,2.8,78.378,7.38,5,2091
1,2,139.4,646.6,592.4,4.54,59.436,14.66,6443,1428
2,0,0.0,0.0,0.0,1.86,78.5,11.56,0,3114
2,4,0.0,0.0,0.0,1.36,67.022,12.78,16,2222
1,3,25.0,72.2,29.4,3.8,74.74,2.7,189,1292
1,2,67.2,826.6,381.0,4.78,53.446,8.56,3255,3759
1,3,46.6,159.6,120.8,7.06,80.808,11.76,1756,1953
1,0,0.0,0.0,0.0,3.64,81.332,8.5,0,4209
1,5,0.0,0.0,0.0,2.82,80.872,4.44,0,1789
1,5,38.2,148.6,54.0,1.7,58.644,8.88,951,1082
2,4,91.0,519.0,255.0,1.76,60.126,16.06,1078,1798
1,3,0.0,0.0,0.0,3.46,78.482,3.7,0,1430
2,1,0.0,0.0,0.0,1.62,75.812,14.7,0,4051
1,2,0.0,0.0,0.0,1.64,62.144,9.42,56,1445
1,3,34.4,228.0,61.8,2.38,77.186,8.92,0,1747
1,1,150.4,425.4,348.2,1.2,49.36,16.64,5561,370
1,5,0.0,0.0,0.0,2.3,73.35,8.34,0,1430
1,5,141.6,279.0,312.2,5.14,65.254,9.48,6300,1810
1,4,0.0,0.0,0.0,3.14,77.88,5.18,0,3874
1,5,0.0,0.0,0.0,1.72,73.806,4.58,0,652
1,1,0.0,0.0,0.0,3.64,79.082,5.04,0,1576
1,1,0.0,0.0,0.0,1.58,72.568,10.16,0,573
1,0,0.0,0.0,0.0,2.66,66.626,5.76,0,1599
2,0,134.2,575.4,510.2,4.22,50.562,20.22,6353,3222
1,5,0.0,0.0,0.0,1.16,53.27,12.02,0,227
2,2,0.0,0.0,0.0,1.42,64.726,18.18,120,2373
1,0,0.0,0.0,0.0,3.44,70.722,4.76,105,4363
2,3,0.0,0.0,0.0,1.32,59.14,19.26,82,455
1,5,0.0,0.0,0.0,3.06,77.856,4.94,0,1969
1,0,0.0,0.0,0.0,3.74,70.356,7.36,105,3347
1,4,121.8,847.6,676.0,4.78,50.144,11.62,8076,3953
1,0,60.2,400.8,195.2,3.48,61.704,13.54,6979,1756
1,3,41.6,0.0,41.6,5.4,80.484,12.18,915,1986
1,4,0.0,0.0,0.0,2.64,70.338,11.7,8,1178
1,2,233.6,465.2,605.6,4.96,56.734,16.18,6430,1889
2,5,182.4,544.2,554.2,2.26,47.642,22.94,9537,792
1,4,0.0,0.0,0.0,2.3,73.184,5.38,2,3018
2,4,0.0,0.0,0.0,1.72,71.844,13.8,0,3019
1,2,0.0,0.0,0.0,3.06,82.202,10.3,8,2226
1,6,0.0,0.0,0.0,1.26,75.518,6.96,2,2127
1,5,0.0,0.0,0.0,1.68,59.534,12.66,112,550
2,0,226.4,601.6,742.6,2.76,49.044,22.76,8825,595
